bigram,count
flavor profile,120
savory slightly,82
garlicky aroma,62
slightly spicy,49
pairs well,49
aroma texture,43
offer balance,40
savory umami,39
dish offer,37
complemented garlicky,37
fast food,36
umami flavor,36
buttery aroma,35
chewy texture,35
creamy texture,34
profile complemented,34
crispy exterior,33
dish featuring,30
sweet slightly,30
tender chicken,28
spicy flavors,28
offer savory,28
blend spices,27
dipping sauce,27
golden brown,26
casual dining,26
features crispy,26
enhancing overall,26
crispy texture,25
features tender,25
popular choice,25
whipped cream,24
spicy flavor,24
slightly salty,24
american cuisine,23
deep fried,23
balance savory,23
balance sweet,23
making popular,23
sweet flavor,22
seasoned blend,21
citrusy aroma,20
dish have,20
stir fried,20
soy sauce,20
slightly tangy,19
slightly sweet,19
fried chicken,19
tangy flavor,19
refreshing beverage,19
sides like,18
salty flavor,18
spicy kick,18
spicy savory,18
saut ed,18
featuring tender,18
umami flavors,18
hints garlic,17
cuisine featuring,17
soft chewy,17
crispy bacon,17
texture chewy,16
crispy fries,16
cumin coriander,16
melted cheese,16
dining experience,16
smoky aroma,16
crispy chicken,16
offering savory,16
flavors complemented,16
indian cuisine,16
satisfying contrast,16
chicken pieces,16
contrast textures,16
fried rice,16
grilled chicken,15
dining settings,15
crispy golden,15
have slightly,15
savory flavor,15
cream cheese,15
ice cream,15
until golden,14
sweet spicy,14
tangy dipping,14
wrapped soft,14
fries refreshing,14
dish features,14
bell peppers,14
indian dish,14
spices like,14
seasoned spices,13
delightful contrast,13
soft bun,13
complemented buttery,13
chilled pairs,13
overall experience,13
texture smooth,13
salty umami,13
slightly crispy,13
dipping sauces,13
aroma buttery,13
offer sweet,13
sweet tangy,13
making them,12
spices cumin,12
crispy fried,12
chicken breast,12
crispy outside,12
sour cream,12
chewy interior,12
iced tea,12
accompanied crispy,12
french fries,12
beef patty,12
popular indian,12
they offer,11
aroma slightly,11
soft drink,11
enjoyed side,11
choice casual,11
added flavor,11
chicken sandwich,11
slightly smoky,11
savory dishes,11
juicy beef,11
texture crunchy,11
crunchy outside,11
hash browns,11
american fast,11
profile hints,11
offers savory,11
fried until,10
them popular,10
fluffy rice,10
dish offers,10
spices offering,10
sauce dish,10
enhancing their,10
balance spicy,10
overall dining,10
complemented creamy,10
marinated chicken,10
aroma garlicky,10
sandwich features,10
texture crispy,10
combo features,10
meal features,10
salsa guacamole,10
crispy french,10
south indian,10
aromatic spices,10
rice naan,10
smooth texture,10
features blend,10
steamed rice,10
balance salty,10
garlic ginger,10
satisfying crunch,10
middle eastern,9
texture contrasts,9
breaded chicken,9
pair well,9
slightly chewy,9
topped creamy,9
slightly tart,9
outside tender,9
flavor complemented,9
nutty flavor,9
mexican cuisine,9
soft tortilla,9
hot sauce,9
have savory,9
fried achieve,9
savory profile,9
aroma dish,9
your own,9
features creamy,9
provides satisfying,9
vanilla ice,9
savory flavors,9
sauce they,9
slightly bitter,9
offering sweet,9
ed onions,9
offers balance,8
tangy flavors,8
garlic spices,8
sweet savory,8
aroma side,8
they pair,8
spicy tangy,8
fries soft,8
contrast texture,8
southern cuisine,8
lettuce tomatoes,8
ingredients like,8
creamy mayonnaise,8
texture delightful,8
seasoned garlic,8
sandwich featuring,8
offer spicy,8
sauce added,8
exterior soft,8
achieve crispy,8
simmered aromatic,8
patty topped,8
side tangy,8
all nestled,8
scrambled eggs,8
creamy blend,8
featuring marinated,7
wrapped warm,7
vegetables like,7
spicy sauce,7
side dish,7
features marinated,7
chicken seasoned,7
offering balance,7
aromas garlic,7
offering spicy,7
texture enjoyed,7
chocolate sauce,7
juicy interior,7
tender within,7
enhancing savory,7
infused garlic,7
have crispy,7
creamy ranch,7
chicken nuggets,7
beverage made,7
black tea,7
peppers onions,7
spices kick,7
fruity aroma,7
enjoyed own,7
crispy crust,7
umami notes,7
chili peppers,7
savory aroma,7
side salad,7
popular appetizer,7
featuring crispy,7
aroma reminiscent,7
tangy chutneys,7
chicken popular,7
comfort food,7
evoke savory,7
offers satisfying,7
coconut milk,7
mildly spicy,7
cuisine features,7
aroma smooth,7
beverage featuring,7
basmati rice,7
burger featuring,7
featuring juicy,7
accompanied tangy,7
chili sauce,7
seasoned chicken,7
black beans,7
beans rice,7
chewy creamy,7
presents satisfying,7
texture creamy,7
enjoyed breakfast,7
scoop vanilla,7
indulgent treat,7
cup coffee,7
coffee tea,7
features layers,7
sesame seed,7
flavors umami,7
fried crispy,7
lemon wedges,7
rice noodles,7
popular dish,7
sweet iced,7
chicken wrapped,6
flavors garlicky,6
accompanied vegetables,6
delightful mix,6
spicy chicken,6
they have,6
flavors aroma,6
texture combines,6
dish reflects,6
texture aroma,6
garlic herbs,6
chocolate chip,6
chocolate chips,6
toppings like,6
profile aroma,6
feature crispy,6
dish enjoyed,6
features juicy,6
side pickles,6
tangy slightly,6
vibrant dish,6
notes complemented,6
